City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,yamaga,33.0167,130.6833,78.06,42,100,4.83,JP,1714018866
203,acarau,-2.8856,-40.12,78.3,87,80,8.34,BR,1714018868
204,tondano,1.3038,124.9112,78.89,53,54,3.89,ID,1714018870
205,ta'izz,13.5,44.0,72.77,36,9,7.45,YE,1714018618
206,orsa,54.5153,30.4053,47.73,93,100,10.49,BY,1714018873
207,pionerskiy,54.9508,20.2275,44.15,89,100,15.64,RU,1714018874
208,pimentel,-6.8367,-79.9342,70.09,78,75,16.11,PE,1714018876
209,al hada,21.3675,40.2869,61.99,23,2,9.44,SA,1714018877
210,abepura,-2.6333,140.5833,90.41,62,20,9.22,ID,1714018879
211,smithers,54.7804,-127.1743,44.92,49,100,5.75,CA,1714018880
212,shingu,33.7333,135.9833,71.64,58,23,5.93,JP,1714018881
213,puerto baquerizo moreno,-0.9,-89.6,77.2,86,22,6.76,EC,1714018807
214,dallas,32.7668,-96.7836,76.05,82,100,6.91,US,1714018501
215,villacanas,39.6237,-3.3381,46.72,52,55,4.34,ES,1714018885
216,puerto santa,-8.9906,-78.6456,68.02,89,99,5.66,PE,1714018887
217,strzelce opolskie,50.5107,18.3006,37.62,96,100,5.35,PL,1714018888
218,chonchi,-42.6128,-73.8092,51.01,88,61,9.84,CL,1714018889
219,kourou,5.1552,-52.6478,78.85,77,97,6.67,GF,1714018891
220,menongue,-14.6585,17.691,56.23,44,79,3.96,AO,1714018892
221,kununurra,-15.7667,128.7333,94.98,41,40,12.66,AU,1714018714
222,praia da vitoria,38.7333,-27.0667,61.05,82,75,10.63,PT,1714018895
223,pisco,-13.7,-76.2167,68.05,83,0,3.44,PE,1714018896
224,askoy,60.4092,5.226,36.75,100,75,2.3,NO,1714018898
225,ceelbuur,4.685,46.6176,83.73,72,100,10.29,SO,1714018899
226,tuscaloosa,33.2098,-87.5692,63.09,87,0,0.0,US,1714018770
227,vyalikaya byerastavitsa,53.196,24.0166,42.53,97,100,6.73,BY,1714018902
228,petawawa,45.9001,-77.3328,28.58,60,0,5.75,CA,1714018905
229,selfoss,63.9331,-20.9971,41.85,71,69,2.59,IS,1714018906
230,wad rawah,15.1603,33.1397,84.65,12,1,7.81,SD,1714018907
231,saint-philippe,-21.3585,55.7679,80.19,82,31,8.37,RE,1714018909
